post_id,board,category,title,author,comment_count,view_count,like_count,created_date,has_image,image_count,post_url,search_keywords,search_boards,content
67004697,name,1,지그재그 에이블리 29cm 더블유컨셉 한시간씩봐도 옷 못사면,Unknown,5,389,0,2026-07-16 23:26,False,0,https://www.instiz.net/name/67004697,"29CM,29cm,에이블리,지그재그",name,"그냥 오프라인가서 입어보고 사야할까?
고민이 너무많아서 사기가힘드네 ㅎ.."
67003405,name,1,같은 상품이면 지그재그 랑 무신사 중에 어디가 더 배송 빠를까,Unknown,3,14,0,2026-07-16 21:28,False,0,https://www.instiz.net/name/67003405,"무신사,지그재그",name,스파오 꺼임
66999952,name,1,욕먹을거 같긴한데 나 에이블리 룩 입고싶어서 살뺌,Unknown,9,34,0,2026-07-16 14:42,False,0,https://www.instiz.net/name/66999952,에이블리,name,여리여리 에이블리룩 입고싶어서 무턱대고 13키로뺌ㅋㅋㅋㅋㅋ
66996529,name,1,진짜 얇고 후들거리는 티 없니 ㅜㅜㅜㅠ🛍️👕👚,Unknown,2,15,0,2026-07-15 23:55,False,0,https://www.instiz.net/name/66996529,무신사,name,"나 가진 반팔 진짜 다 두꺼워,, 내 기준 두꺼움>무신사 29센치에 흔히 보이는 귀여운 프린팅 반팔들 전부,,,,
증맬루 좀 얇고 후들 부들 야들한 반팔티 아는 사람,,?"
66996259,name,1,29cm 교환할 때,Unknown,1,9,0,2026-07-15 23:16,False,0,https://www.instiz.net/name/66996259,"29CM,29cm",name,교환검수완료로 뜨고 상품준비중이라고 하면 하자 인정돼서 바꿔준다는 거야?
66992771,name,1,아니 29cm 고 무신사 고 남녀 뜻을 모르나,Unknown,12,1023,0,2026-07-15 15:50,False,0,https://www.instiz.net/name/66992771,"29CM,29cm,무신사",name,성별 남성 선택하고 보는데 여자 옷 왤케 많이 보여줌
66987973,name,1,무신사 에서는 아캄 바지가 젤 이쁨,Unknown,2,209,0,2026-07-14 22:34,False,0,https://www.instiz.net/name/66987973,무신사,name,"3개 샀는데 다 만족함
하나 더 사고싶어
단점을 굳이 찾자면 기장이 길다"
66987122,name,1,혹시 지그재그 문의 잘 아는 사람 있어?,Unknown,0,8,0,2026-07-14 20:49,False,0,https://www.instiz.net/name/66987122,지그재그,name,쇼핑몰에 문의 올렸다가 확인 전에 삭제하면 그 쇼핑몰도 아예 못보는 건가? 아니면 내역이 남아있나?
66984601,name,1,익인이들 중에 어머니가 어려보이는 거에 조금 집착하는 분 있어?,Unknown,1,34,0,2026-07-14 15:20,False,0,https://www.instiz.net/name/66984601,"에이블리,지그재그",name,혹시 너희 어머니도 딸 옷 입는 거 많이 좋아하셔?ㅠㅠ 엄마가 평소에 나이에 강박이 있는 것 같은 말이나 행동을 많이 하시거든…근데 내 옷에도 엄청 욕심내. 내가 좀 질 좋고 비싸고 예쁜 옷 입으면 모르겠는데 에이블리나 지그재그에서 흔히 말하는 좀 싼티 나는 옷 많이 사 입는데 이런 옷들을 자꾸 가져가서 입고 그럼…🌞
66984548,name,1,웨이브니 스트레이트니 뭐니 이러는 애들보면 미감이나,Unknown,4,49,0,2026-07-14 15:14,False,0,https://www.instiz.net/name/66984548,에이블리,name,옷 잘입는애 정작 ㄹㅇ 없는거같음 맨날 저런말하는 애 있는데 프릴달린 에이블리룩 에겐녀룩만 입고다녀
66984506,name,1,이제 바지 28이면 라지입는구나…,Unknown,13,266,0,2026-07-14 15:10,False,0,https://www.instiz.net/name/66984506,지그재그,name,"158-48이라 막 뚱뚱한것도 아님
체지방률 좀 있긴한데 뚱뚱한건 아녀..
근데 지그재그 이런데에서 옷살때 이제 라지 입음…미듐도 허리 작고…
다들 어떻게 그렇게 작은 옷을 입는거지..?
내가 골반도 크고 엉덩이 큰 체형도 아닌데 그냥 납작한 네츄럴느낌임…그냥 요즘 여자들이 엄청 마른건가????
5년전만해도 비슷한 몸무게엿을때 다 s입다가 이젠 라지 입는게…이게맞나
다들 얼마나 마른거야+앉을때 배 조이는거 신경안쓰고 딱맞게 입나…."
66983722,name,1,20대 후반~30대 초 중 익들,Unknown,11,41,0,2026-07-14 13:39,False,0,https://www.instiz.net/name/66983722,에이블리,name,옷 어디서사? 나원래 에이블리에서만 사는데 이제 바꿔야되나...생각들어서ㅠㅠ
66981038,name,1,여밈 성수 팝업 갔다온 사람..,Unknown,0,27,0,2026-07-14 02:58,False,0,https://www.instiz.net/name/66981038,무신사,name,"윤비누 콜라보 도트 가방 할인율이 얼마야 ? ㅜㅜ
급하게 쓰려고 무신사에서 샀는데, 배송이 늦어서 가격 괜찮으면 가려하는데
제발 ㅜ 알려줄사람 ㅜㅜㅜ"
66979010,name,1,노브라티 진짜 너무 잘 입고 있는 거 다시 사려는데,Unknown,1,15,0,2026-07-13 21:31,False,0,https://www.instiz.net/name/66979010,무신사,name,그게 뭔질 모르겠음ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 캡내장 티셔츠처럼 캡이 들어가 있는 게 아니라 아예 티셔츠 안에 패드..? 처럼 덧대있어서 브래지어 안 해도 개편한 티 있거든 목도 짱짱하고 완전 집에서 잠옷처럼 휘뚜루마뚜루 입고 있는데 이걸 다시 사려니까 어디서 산 건질 기억이 안 나 쿠팡이나 무신사 뒤///져봐도 안 나옴 캡내장인게 오히려 불편하단 말임 빨면 목 다 늘어나고...ㅠ
66978390,name,1,"지그재그 반품하는데 비용 7000원이네,,",Unknown,5,44,0,2026-07-13 20:16,False,0,https://www.instiz.net/name/66978390,지그재그,name,걍 입을까..ㅜㅜ
66976956,name,1,아니 직잭 어이없음.......,Unknown,0,9,0,2026-07-13 17:21,False,0,https://www.instiz.net/name/66976956,직잭,name,"물건을 샀는데 그게 직진배송상품이어서 빨리왔음.(직진배송이어서 산거x) 근데 불량인거야? 교환하려고 보니까 직진은 품절이고 일반배송은 재고있어서 구매가능한 상태인데
교환 문의하니까 직진이랑 일반은 별개여서 재고가 있는데도 교환이 안된대... 그냥 반품하고 내가 다시 결제해서 사래 이미 가격은 달라져서 2배 비싸게 줘야하는데............."
66976619,name,1,초2 여자애가 성형수술하고 어른화장하고 에이블리 룩 입고 담배피고 화장하면 어떤 생각 들어…?,Unknown,12,46,0,2026-07-13 16:43,False,0,https://www.instiz.net/name/66976619,에이블리,name,키 아직 150 밖에 안되는데…. 큰일임 진짜 요즘 초딩들 우리때랑 달라서 충격…… 7살 8살들도 화장 많이 하더라
66973409,name,1,애플워치 친구들아 스트랩 뭐 써???,Unknown,2,13,0,2026-07-13 10:19,False,0,https://www.instiz.net/name/66973409,지그재그,name,가죽 스트랩 주구장창 쓰다가 좀 바꿔보려고 하는데 걍 다 지그재그에서 파는 그거 쓰나
66972246,name,1,요즘 옷 스타일 나만 어렵니??,Unknown,0,17,0,2026-07-13 02:45,False,0,https://www.instiz.net/name/66972246,지그재그,name,"뭔가 유행하는게 레이어드가 아니라 뭐더라 어쨌거나 그런 스타일이거나 아니면 겨드랑이 다 보이는 반팔....아니면 어깨 드러내는 옷 아니면 허리쪽이 곱창마냥 쪼그라드는 옷 이러니까 뭔가 베이직한 스타일이 아닌게 유행이라 어려워
ㅠㅠㅠㅠ직장까지 다니니까 걍 옷 다 유니클로에서 구매해버림 지그재그 이런 곳은 뭘 사야할지도 모르겠고 걍 포기했어 성수 같은데 가서 옷 한벌 사는데 한시간 돌아다니는것도 기빨리고 걍 어려워 요즘 패션"
66970854,name,1,공부 잘하면 못꾸민다 이거 반은 맞고 반은틀린듯..,Unknown,0,21,0,2026-07-12 23:07,False,0,https://www.instiz.net/name/66970854,에이블리,name,빡세게 꾸미고 부츠컷 에이블리 느낌은 진짜 별로없는데 ㄹㅇ 예쁜 사람 많음
66969619,name,1,회사에서 이런 옷 가능?,Unknown,15,479,0,2026-07-12 21:01,True,1,https://www.instiz.net/name/66969619,지그재그,name,"딱 붙는 티+딱 붙는 바지
몸매 완전 잘 보이는ㅇㅇ..
사진은 걍 지그재그에서 아무꺼나 가져옴 문제되면 말해줘ㅜ"
66969338,name,1,익들아 지그재그 요 조거팬츠 추천함니댜.........,Unknown,11,1015,0,2026-07-12 20:29,True,1,https://www.instiz.net/name/66969338,지그재그,name,"어떤경로로 구매한건지 잘은 기억안나는데 아마도 유튜버가 추천해서 혹해가지고 샀던것같아.. 근데 옴매야 넘편해가지고 그날이후로 내 교복이됨.. 약간 뭐안입은느낌임.. 휑한느낌(?).. 좋다는뜻ㅠ
색깔도 여러종류인데 그냥 깔별로 다쟁였어ㅠ 그렇게 4년이 넘었고 아직도 입고댕김ㅋㅋㅋㅋ 대학시절을 함께한바지였.. 취준중인지금도 입고잏고... 알바할때도.. 여름에 입어도 안더워!! 상의그대로입고 얘만 색깔다르게해서 돌려입어도 조아,,
먼가 광고같은데 광고아니야ㅠㅜ 갑자기오늘도 어김없이입고나갔는데 넘벅차가지고(?) 인티익들한테 추천해주고싶어서 글올려봐.... 벙벙하고 짱편하니까 한벌만 쟁여봤음하는 맘에 하핳.. 근데 넘마른 익들은 1사이즈도 클것같긴해!!!! ㅠㅠ 그건미안해ㅠㅠ
암튼 두서없는 빽빽한글 읽어줘서 고맙습니다.. 좋은밤보내유.. ㅎㅎ"
