post_number,post_link,comment_number,author,date,content
5692087,https://cafe.daum.net/_c21_/bbs_read?grpid=1IHuH&fldid=ReHf&contentval=0Nslrzzzzzzzzzzzzzzzzzzzzzzzzz&datanum=5692087&page=1,56920871,우주견라이카,26.07.13,에효 진짜 돈이뭐라고 …
5692087,https://cafe.daum.net/_c21_/bbs_read?grpid=1IHuH&fldid=ReHf&contentval=0Nslrzzzzzzzzzzzzzzzzzzzzzzzzz&datanum=5692087&page=1,56920872,나는다잘돼진짜,26.07.13,이건 진짜 너무 아깝다..
5692087,https://cafe.daum.net/_c21_/bbs_read?grpid=1IHuH&fldid=ReHf&contentval=0Nslrzzzzzzzzzzzzzzzzzzzzzzzzz&datanum=5692087&page=1,56920873,effective,26.07.13,한국의 인문학 위치가 어느정도인지 알리는 계기라고 생각함 사람들이 점점 천박해져
5692087,https://cafe.daum.net/_c21_/bbs_read?grpid=1IHuH&fldid=ReHf&contentval=0Nslrzzzzzzzzzzzzzzzzzzzzzzzzz&datanum=5692087&page=1,56920874,대하소설도장깨기,26.07.13,참 진짜.. 외국이었으면 무료로 공간 내줬을거같음ㅋㅋㅋㅋ
5692087,https://cafe.daum.net/_c21_/bbs_read?grpid=1IHuH&fldid=ReHf&contentval=0Nslrzzzzzzzzzzzzzzzzzzzzzzzzz&datanum=5692087&page=1,56920876,이지외단,26.07.13,노벨문학상을 받아도 건물주가 위구나
5692087,https://cafe.daum.net/_c21_/bbs_read?grpid=1IHuH&fldid=ReHf&contentval=0Nslrzzzzzzzzzzzzzzzzzzzzzzzzz&datanum=5692087&page=1,56920877,삐딱순OI,26.07.13,놀랍지도않음 우리나라 천박해진지 오래라
5692087,https://cafe.daum.net/_c21_/bbs_read?grpid=1IHuH&fldid=ReHf&contentval=0Nslrzzzzzzzzzzzzzzzzzzzzzzzzz&datanum=5692087&page=1,56920878,댕쫀쿠,26.07.13,외국이었으면 100년동안 그자리에 냅두고 관광코스로 만들었을텐데 ㅋㅋㅋ 그러면 월세 계~속 받을수있었을텐데 어리석다
5692087,https://cafe.daum.net/_c21_/bbs_read?grpid=1IHuH&fldid=ReHf&contentval=0Nslrzzzzzzzzzzzzzzzzzzzzzzzzz&datanum=5692087&page=1,56920879,SEAN O’PRY,26.07.13,수준 진짜..올라간 부동산 가치만 홀라당 먹겠다는 심보ㅋㅋㅋ..
5692083,https://cafe.daum.net/_c21_/bbs_read?grpid=1IHuH&fldid=ReHf&contentval=0Nslnzzzzzzzzzzzzzzzzzzzzzzzzz&datanum=5692083&page=1,56920831,우주견라이카,26.07.13,이거 어이없게 웃겻는데 ㅋㅋㅋㅋㅋㅋ
5692083,https://cafe.daum.net/_c21_/bbs_read?grpid=1IHuH&fldid=ReHf&contentval=0Nslnzzzzzzzzzzzzzzzzzzzzzzzzz&datanum=5692083&page=1,56920832,멀린의처진오른쪽고환에걸고,26.07.13,숱돌이 ㅋㅋㅋㅋㅋ
